"#name","Урыс-адыгэ школ псалъалъэ (Rus-Ady) (eastern)"
"#sourceLang","Russian"
"перевернуться","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> (опрокинуться) щхьэпридзын, уфэрэкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (на другой бок) зыгъэзэн</div>"
"перевес","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> хьэлъагъкIэ нэгъуэщI зыгуэрым екуэдэкI; <b>численный перевес</b> бжыгъэкIэ нэхъыбэ хъу</div>"
"перевесить","<div style=""margin-left:1em"">II (перевешу, перевесишь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> щIэрыщIэу шэчыжын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> иришэхын (хьэIъагъкIэ)</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> нэгъуэщI щIыпIэ фIэдзэн</div>"
"перевести","<div style=""margin-left:1em"">(переведу, переведешь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>кого-что</i> зэпрышын; <b>перевести через улицу</b> уэрамым зэпрышын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> нэгъуэщI щIыпIэ гъэкIуэн; <b>перевести ученика в другую школу</b> еджакIуэр нэгъуэщI школ гъэкIуэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> <i>что</i> егъэхьын; <b>перевести деньги по почте</b> ахъшэр пощткIэ егъэхьын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>4.</b></font> <i>что</i> зэдзэкIын; <b>перевести текст с русского на кабардинский</b> урысыбзэ тхыгъэр адыгэбзэкIэ зэдзэкIын</div>"
"перевод","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i class=""p""><font color=""green"">см.</font></i> &lt;&lt;перевести&gt;&gt;</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (на другое место, в другой класс) гъэIэпхъуэныгъэ, нэгъуэщI щIыпIэ гъэкIуэныгъэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> (с одного языка на другой) зэдзэкIар</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>4.</b></font> (денежное отправление) ахъшэ егъэхьыныгъэ</div>"
"переворачиваться","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">несов.</font></i> к перевернуться</div>"
"переворот","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II, <i class=""p""><font color=""green"">в разн. знач.</font></i> къызэдзэкIыныгъэ, зэхъуэкIыныгъэ, переворот; <b>государственный переворот</b> къэра лым зэхъуэкIыныгъэ хэлъхьэн; <b>переворот в науке</b> щIэныгъэм зэхъуэкIыныгъэшхуэ хэлъхьэн</div>"
"перевоспитание","<div style=""margin-left:1em""><i class=""p""><font color=""green"">с.</font></i> II, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> гъэсэкIэр нэгъуэщI щIын, нэгъуэщIу гъэсэн</div>"
"перевоспитать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, кого</i> сэхъуар гъэсэн, нэгъуэщI хьэл зыхегъэлъхьэн</div>"
"перевыборы","<div style=""margin-left:1em""><i class=""p""><font color=""green"">тк.</font></i> <i class=""p""><font color=""green"">мн.</font></i> щIэрыщIэу хэхыжыныгъэ</div>"
"перевыполнение","<div style=""margin-left:1em""><i class=""p""><font color=""green"">с.</font></i> II, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> щIигъуу гъэзэщIэныгъэ; <b>перевыполнение плана</b> планым щIегъэгъун</div>"
"перевыполнить","<div style=""margin-left:1em"">II, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> щIигъуу гъэзэщIэн; <b>перевыполнить план</b> планыр щIигъуу гъэзэщIэн</div>"
"перевязать","<div style=""margin-left:1em"">I (перевяжу, перевяжешь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>кого-что</i> (наложить повязку) пхэн; <b>перевязать рану</b> уIэгъэр пхэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (обвязать кругом) къепхэкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> <i>что</i> (заново завязать) щIэрыщIэу зэкIуэцIыпхэжын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>4.</b></font> <i>что</i> (чулки и т. п.) зэрыхъэн, щIын</div>"
"перевязка","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I пхэныгъэ</div>"
"переглянуться","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, с кем и без доп.</i> зэплъыжын (зэгъуситI)</div>"
"перегнать","<div style=""margin-left:1em""><i class=""p""><font color=""green"">сов.</font></i> II (перегоню, перегонишь)</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>кого-что</i> (опередить) тежын, щхьэпрыкIыжын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i>кого-что</i> (на другое место) нэгъуэщI щIыпIэ хун</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> <i>что</i> (техн.), (<i class=""p""><font color=""green"">хим.</font></i>) зэхэхун <b>перегнать нефть</b> щIыдагъэр щIэхун</div>"
"перегнуть","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> ухуэн, укъуэншын; <b>перегнуть палку</b> башыр ухуэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i class=""p""><font color=""green"">перен.</font></i> егъэлеищэн</div>"
"перегнуться","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i> зыукъуэншын, зыхуэн</div>"
"переговариваться","<div style=""margin-left:1em""><i><i class=""p""><font color=""green"">несов.</font></i>, с кем и без доп.</i> зэпсэлъылIэн</div>"
"переговоры","<div style=""margin-left:1em""><i class=""p""><font color=""green"">тк.</font></i> <i class=""p""><font color=""green"">мн.</font></i> зэпсэлъэныгъэ</div>"
"перегореть","<div style=""margin-left:1em""><i><i class=""p""><font color=""green"">тк.</font></i> 3 <i class=""p""><font color=""green"">л.</font></i>,</i> II, <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> исын; <b>лампочка перегорела</b> уэздыгъэр исащ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (сгореть) исылэн, зэтрисхьэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> (сгнить) фыпэн</div>"
"перегреть","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> гъэхэбэщэн, гъэплъыщэн; <b>перегреть мотор</b> моторыр гъэплъыщэн</div>"
"перегрузить","<div style=""margin-left:1em"">II (перегружу, перегрузишь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>что</i> гъэхьэлъэщэн, хьэлъэ куэдыIуэ илъхьэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i class=""p""><font color=""green"">перен.</font></i> телъхьэIуэн, телъхьэщэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> нэгъуэщI щIыпIэ илъхьэн (щыгъэтIылъын)</div>"
"перегрузка","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> хьэтьащэ щIыныгъэ; <b>утомиться от перегрузки</b> егъэлеяуэ хьэлъэм иригъэшын; <b>перегрузка учащихся</b> еджакIуэхэр зыпэмылъэщын лэжьыгъэ етын</div>"
"перегрызть","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> зэпышхыкIын</div>"
"перед(о)","<div style=""margin-left:1em""><i>предлог с</i> <i class=""p""><font color=""green"">тв.</font></i> <i class=""p""><font color=""green"">п.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> (перед кем? перед чем?) передается послелогами деж, ипэкIэ; <b>он стоял перед домом</b> ар унэм деж щытащ; <b>перед домом рос тополь</b> унэ гупэм щиху къыщокI</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <b>когда?</b> сытым щыгъуэ? <b>перед обедом</b> шэджагъуашхэм ирихьэлIэу; <b>я пришел перед тобой</b> сэ уяпэIуэкIэ сыкъэкIуащ</div>"
"передать","<div style=""margin-left:1em""><i class=""p""><font color=""green"">особ.</font></i> <i class=""p""><font color=""green"">спр.</font></i>, <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>кого-что кому</i> (вручить) етыжын; <b>через</b> (кого-л.) егъэхьын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i>что</i> (сказать, сообщить) ехыжын, етыжын; <b>передать привет</b> сэлам ехыжын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> <i>что</i> (по радио) къэтын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>4.</b></font> <i>что, чего</i> (дать лишнее) етыщэн, етыкъуэн</div>"
"передача","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i class=""p""><font color=""green"">тк.</font></i> <i class=""p""><font color=""green"">ед.</font></i> тыныгъэ; <b>передача концерта по радио</b> нэтын, раднокIэ концерт къэтьшыгъэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> къатынур; <b>программа передач</b> къатынухэм я программэ</div>"
"передвигаться","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">несов.</font></i> к передвинуться кIуэн, зыгъэхъеин, къэкIухьын</div>"
"передвижение","<div style=""margin-left:1em""><i class=""p""><font color=""green"">с.</font></i> II кIуэныгъэ, къэкIухьыныгъэ, кIуэтэныгъэ</div>"
"передвинуть","<div style=""margin-left:1em"">I <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>кого-что</i> гъэкIуэтэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i>что</i> (срок) нэхъ кIыхь щIын (пIалъэр)</div>"
"передвинуться","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i> кIуэтэн</div>"
"переделать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> (сделать иначе) щIэрыщIэу щIыжын, нэгъуэщIу зэхъуэкIыжын</div>"
"переделка","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I зэгъэзэхуэжыныгъэ, нэгъуэщIу зэгъэпэщыжын</div>"
"передний","<div style=""margin-left:1em""><i>-яя, -ее</i> пэIущIэ; <b>передняя стена</b> блын пэIущIэ</div>"
"передовая","<div style=""margin-left:1em""><i><i class=""p""><font color=""green"">скл.</font></i> как <i class=""p""><font color=""green"">прил.</font></i></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> пэрыт тхыгъэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (район боев) зэуапIэ</div>"
"передовик","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II пашэ, пэрыт; <b>передовики соревнования</b> зэхьэзэхуэм щыпашэхэр (щыпэрытхэр)</div>"
"передовой","<div style=""margin-left:1em""><i>-ая, -ое</i> <i class=""p""><font color=""green"">прям.</font></i>, пашэ, пэрыт; <b>передовой колхоз</b> колхоз пашэ; <b>передовая статья</b> пэрыт тхыгъэ</div>"
"передохнуть","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i> тIэкIу зыгъэпсэхун</div>"
"передразнить","<div style=""margin-left:1em"">II (передразню, передразнишь), <i class=""p""><font color=""green"">сов.</font></i>, <i>кого-что</i> зыпыщIыжын</div>"
"передумать","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> щIегъуэжын; <b>я передумал идти в лес</b> мэзым сыкIуэну си гугъати сыщIегъуэжащ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> куэдым егупсысын</div>"
"передышка","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> (короткий отдых) бэуэгъуэ, псэхугъуэ кIэщI</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i class=""p""><font color=""green"">перен.</font></i> (перерыв) увыIэгъуэ</div>"
"переезд","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> зэпрыкIыныгъэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> Iэпхъуэжыныгъэ; <b>переезд в другое село</b> нэгъуэщI къуажэ Iэпхъуэжыныгъэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> зэпрыкIыпIэ</div>"
"переехать","<div style=""margin-left:1em"">I (перееду, переедешь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>что, через что</i> зэпрыкIын; <b>переехать реку</b> псым зэпрыкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i>кого-что</i> (<i class=""p""><font color=""green"">разг.</font></i>) (задавить) пIытIын, текIын, теувэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> <b>куда</b> (переселиться) кIуэжын, Iэпхъуэн</div>"
"переждать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, кого-что</i> пэплъэн, ежьэн; <b>переждать грозу</b> уафэгъуагъуэ уэшхышхуэр блэкIыху зыIэжьэн</div>"
"переживание","<div style=""margin-left:1em""><i class=""p""><font color=""green"">с.</font></i> II псэкIэ зэхэщIэныгъэ; <b>глубокие переживания</b> куууэ псэкIэ зэхэщIэныгъэ</div>"
"переживать","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">несов.</font></i> к пережить; гум къеуэн, гупсысэн, псэм бэлыхь телъын; (радость) гуфIэгъуэ иIэн</div>"
"пережить","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>что</i> нэхъыбэ къэгъэщIэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i>что</i> (испытать горе) гуауэ шэчын; (радость) иIэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> <i>кого</i> (прожить дольше) нэхъыбэрэ псэун; <b>он всех переживет</b> ар псом нэхърэ нэхъыбэрэ псэуищ</div>"
"перезимовать","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i> щIымахуэр игъэкIын, щIымахуэр ихын</div>"
"переизбирать","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i> (переизберу, переизберешь) <i>кого-что</i> щIэрыщIэу (аргуэру) хэхыжын</div>"
"переименовать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, кого-что</i> цIэр зэхъуэкIын, нэгъуэщIыцIа фIэщын</div>"
"перейти","<div style=""margin-left:1em"">I (перейду, перейдешь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>что</i> зэпрыкIын, икIын; <b>перейти через Терек</b> Тэрч зэпрыкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> Iэпхъуэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> щIэдзэн, хуежьэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>4.</b></font> кIуэн; <b>перейти в пятый класс</b> етхуанэ классым кIуэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>5.</b></font> IэщIыхьэн</div>"
"перекликаться","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">несов.</font></i>, с кем и без доп.</i> зэгуоун, зэпэджэжын</div>"
"перекопать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <b>вскопать заново</b> щIэрыщIэу къэтIыжын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (вскопать все) псори къэтIыжын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> (вскопать поперек) зэпрытIыкIын; <b>перекопать дорогу</b> гъуэгур зэпрытIыкIын</div>"
"перекормить","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, кого</i> гъэшхэкъуэн</div>"
"перекрасить","<div style=""margin-left:1em"">II, <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>что</i> (заново) щIэрыщIэу лэжьын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (все) псори лэн</div>"
"перекрёсток","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II уэрам зэхэкIыпIэ, уэрамыщхьэ</div>"
"перекричать","<div style=""margin-left:1em"">II, <i><i class=""p""><font color=""green"">сов.</font></i>, кого-что</i> нэхъ ину кIиин; макъ нэхъ лъэщкIэ нэгъуэщIым и макъыр еудыхын, щIэхъумэн</div>"
"перелезть","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i>, через что щхьэпрыпщын; <b>перелезть через плетень</b> бжыхьым щхьэдэпщыхын</div>"
"перелёт","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> (птиц) лъэтэжыныгъэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (на самолете) щхьэпрылъэтыкIыныгъэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> (при стрельбе) блэлъэтыныгъэ, (зрагъэпщам, зытраубыдам)</div>"
"перелететь","<div style=""margin-left:1em"">II (перелечу, перелетишь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>что, через что</i> щхьэщылъэтын, щхьэпрылъэтын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (на другое место) нэгъуэщI щIыпIэ лъэтэжын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> (дальше, чем нужно) щхьэпрылъэтын (здынэсын хуейм)</div>"
"перелётный","<div style=""margin-left:1em""><i>-ая, -ое</i> лъэтэж; <b>перелетные птицы</b> нэгъуэщI щIыпIэ лъэтэж къуалэбзухэр</div>"
"переливать","<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i class=""p""><font color=""green"">несов.</font></i> к перелить</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> зэщIэпщIыгацIэн; <b>переливать из пустого в порожнее</b> (<i class=""p""><font color=""green"">погов.</font></i>) мыхьэнэншэ жыIэн, Iуэху мыхьэнэншэ лэжьын</div>"
"переливаться","<div style=""margin-left:1em""><i class=""p""><font color=""green"">несов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> к перелиться</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i>чем</i> (о цвете) зэщIэлыдэн, зэщIэпщIыпщIэн</div>"
"перелистать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> зэгъэдзэкIын; <b>перелистать страницу</b> напэкIуэцIыр зэгъэдзэкIын (зэтедзын)</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (бегло прочитать) тхылъым псынщIэу къеджэн</div>"
"перелить","<div style=""margin-left:1em"">I (перелью, перельешь), <i><i class=""p""><font color=""green"">сов.</font></i>, что</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> зым къигъэжауэ адрейм икIэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (налить больше чем нужно) къыщхьэпрегъэхун</div>"
"перелиться","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i>, <i class=""p""><font color=""green"">тк.</font></i> <i>3</i> <i class=""p""><font color=""green"">л.</font></i> (перельется) къыщхьэпрыжын, нэгъуэщIым илъэдэн</div>"
"переложить","<div style=""margin-left:1em"">II (переложу, переложишь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>кого-что</i> нэгъуэщI щIыпIэ гъэтIылъын; <b>переложить книги со стола в шкаф</b> тхылъхэр стIолым къытехауэ шкафым дэлъхьэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> щIэрыщIэу зэтелъхьэжкн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> лей илъхьэн, хэлъхьэн; <b>переложить перцу в суп</b> хьэнтхъупсым шыбжин куэдыIуэ хэлъхьэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>4.</b></font> <i>что на кого, <i class=""p""><font color=""green"">перен.</font></i></i> нэгъуэщIым и гацэ илъхьэн</div>"
"перелом","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> зэпыщIыкIыныгъэ, къутэныгъэ; <b>перелом бедра</b> куэр къутэныгъэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> зэпыщIыкIыпIэ, къутапIэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> зэхъуэкIыныгъэшхуэ; <b>провести коренной перелом</b> зэхъуэкIыныгъэшхуэ егъэкIуэ кIын</div>"
"переломать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i> что</i> куэду зэпыщIыкIын, зэтекъутэн; <b>ребенок переломал все игрушки</b> сабийм зэрыджэгу хьэпшыпхэр зэтрикъутащ</div>"
"переломить","<div style=""margin-left:1em"">II (переломлю, переломишь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>что</i> зэпыщIыкIын; <b>переломить палку</b> башыр зэпыщIыкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i>кого-что <i class=""p""><font color=""green"">перен.</font></i></i> хьэлыр хъуэжын; <b>переломить свой характер</b> хьэлыр хъуэжын</div>"
"перемена","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> (<i class=""p""><font color=""green"">напр.</font></i> профессии) хъуэжыныгъэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (изменение) зэхъуэкIыныгъэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> (перерыв между уроками) зэпыуныгъэ</div>"
"переменить","<div style=""margin-left:1em"">II (переменю, переместишь), <i><i class=""p""><font color=""green"">сов.</font></i>, кого-что</i> хъуэжын, зэхъуэкIын; <b>переменить платье</b> бостейр зэхъуэкIьн</div>"
"перемениться","<div style=""margin-left:1em"">II (переменюсь, переменишься), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> зыхъуэжын; <b>перемениться в лице</b> и фэн зихъуэжын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (изменить отношение) хузэкIуэкIын, и щытыкIэй зегъэхъуэжын</div>"
"переменный","<div style=""margin-left:1em""><i>-ая, -ое</i> зызыхъуэж; <b>переменный ветер</b> жьы зызыхъуэж; <b>переменный ток</b> (<i class=""p""><font color=""green"">физ.</font></i>) зызыхъуэж ток</div>"
"переместить","<div style=""margin-left:1em"">II, <i><i class=""p""><font color=""green"">сов.</font></i>, кого-что</i> гъэIэпхъуэн; нэгъуэщI лэжьапIэ гъэувын</div>"
"переместиться","<div style=""margin-left:1em""><i class=""p""><font color=""green"">сов.</font></i>, II (перемещусь, переместишься) нэгъуэгдI щIыпIэ кIуэн, Iэпхъуэн</div>"
"перемешать","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i>, <i>что</i> зэхэгъэзэрыхьын, зэхэпщэн, зэIыщIэн</div>"
"перемирие","<div style=""margin-left:1em"">II зэгурыIуэныгъэ; <b>заключить перемирие</b> зэгурыIуэныгъэ зэщIылIэн</div>"
"перемножить","<div style=""margin-left:1em"">II, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> (<i class=""p""><font color=""green"">мат.</font></i>) заде эгъэбэгъуэн</div>"
"перемыть","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> (заново) щIэрыщIэу тхьэщIыжын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> (все, много) зэтетхьэщIэн, зэхэтхьэщIэн</div>"
"перенести","<div style=""margin-left:1em"">I (перенесу, перенесешь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>кого-что</i> нэгъуэщI щIыпIэ хьын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> зэпрыхын; <b>перенести через реку</b> псым зэпрыхын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> ехьэкIын; <b>перенести слово</b> псалъэр ехьэкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>4.</b></font> <i class=""p""><font color=""green"">перен.</font></i> <b>перенести трудности</b> гугъуехь шэчын</div>"
"перенестись","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i>, <i class=""p""><font color=""green"">прям.</font></i>, <i class=""p""><font color=""green"">перен.</font></i> зегъэхьын, псынщIэу кIуэн</div>"
"перенос","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II хьыныгъэ, ехьэкIыныгъэ; <b>правила переноса слов</b> псалъэхэр зэрехьэкIыпхъэм теухуа правилэ</div>"
"переносить","<div style=""margin-left:1em"">II (переношу, перенесешь), <i><i class=""p""><font color=""green"">сов.</font></i>, кого-что</i> (перетащить) зэпрыхын, зэпрылъэфын</div>"
"переносица","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I пэ шыкъу</div>"
