"#name","Адыгабзэм изэхэф гущыIалъ (Ady) (western)"
"математик","(математикыр, математикхэр)
математик
Математикэр зисэнэхьатыр ары
Ар математик
Математик Iаз"
"математикэ","(математикэр)
математика
ШIэныгъэ зэхэтэу шапхъэхэр, пчъагъэхэр зэрэзэфыщытхэр, зэрзэхьылIагъэхэр ыкIи пространствэ формэхэр зэзгъашIэхэрэр ары
Ащ математикэр дэгъоу ешIэ"
"материал","(материалыр, материалхэр)
материал
1. Пкъыгъоу, лIэужыгъоу зыгорэ зыхашIыкIырэр ары
Унэ пшIын хъумэ материалыбэ ищыкIагъ
Материалэу зыхэпшIыкIын щымыIэу зи пшIын плъэкIыщтэп
2. ткань
ШэкIы
А палътэур зыхэшIыкIыгъэр боу материал дэгъу"
"материк","(материкыр, материкхэр)
материк
ЧIынэлъэшхоу хыхэмкIэ е океанхэмкIэ къэуцухьагъэу щытыр ары
Америкэ материкыр
Хым къытекIи, материкым къытехьажьыгъ"
"матрос","(матросыр, матросхэр)
матрос
Морякэу, команднэ составым щымыщыр ары
Матрос кIал
Матросхэр къухьэм къикIыгъэх"
"матч","(матчыр)
матч
Спорт зэнэкъокъу джэгукI
Футбол матч
Апэрэ матчыр аухыгъ"
"мау","межд. мяу
Чэтыум «мау» еIо. Мау, маур сикIушъ, кIушъэрыкъор зынапц, чэу цэпкъыр зигъогу, зыгу цIыкIур IэшIулъ, зилъэ цIыкIур зимажь, пырамыжьыр зижьау, чъыг жьауи чIэмыхь, унэм ехьэшъ псы ешъо, шъуаер кIыеу еукIы, цыгъор кIыеу екъузы"
"маузер","(маузерыр, маузерхэр)
маузер
Щабэ зыдэлъ автоматическэ шхончкIэкI лъэпкъ
Маузер голъ"
"мафэ","
I (мафэр, мафэхэр)
1. день
Зы чэщ- зымафэм щыщэу пчэдыжьымрэ пчыхьашъхьэмрэ азыфагу ифэрэр ары
Тыгъэр къызыкъокIым ригъажьи, тыгъэр къохьафэ нэс мэфэреным Iоф ышIагъ
Мафэ щыIахэп, кIэко дэд
◊ Мафэр кIуагъэ — день прошел
◊ Мафэр кIэкI хъугъэ — день стал короче
◊ Мафэм хахъоу ригъэжьагъ — день стал прибавляться
◊ Мафэм къыхэIагъ — день стал убывать
◊ ТекIоныгъэм имаф — День Победы
2. сутки
Зы чэщзымаф
Мэфэ пшIыкIутф отпускэу ритыгъ
Мэфитфэ гъогум тетыгъ
◊ Мэфэрен — целый день
Мэфэреным Iоф ышIагъ
II (мафэр, мафэхэр)
счастливый, -ая, -ое къып. <<мыгъо>>
Унэ маф
ЧIыпIэ маф
Нэбгырэ маф
◊ IукIэгъэ мафэ тэхъу! — пусть наша встреча будет счастливой
◊ Мафэ фэхъу — пусть принесет тебе счастье, носи на здоровье
◊ Нэбгырэ маф — о новости, приносящей счастье"
"махорк","(махоркэр, махоркэхэр)
махорка
Тутын лъэпкъ
Махоркэ ешъо
Махоркэ пачкэ къыщэфыгъ"
"махэ","
(махэр, махэхэр)
непрочный, -ая, -ое, слабый, -ая, -ое
Пытэп
Iудэнэ мах
ШэкI мах
КIапсэр махэ хъугъэ"
"махъ","(махъэр)
резкая, острая боль, вид радикулита
ЧъыIэ хэхьаным къыхэкIрэ уз
Махъэ иI"
"махъсымэ","(махъсымэр)
еплъ <<бахъсымэ>>"
"махъулъэ","(махъулъэр, махъулъэхэр)
зять
Ыпхъу е ышыпхъу илI ары
Мэхъулъэ дэгъу иI
Имахъулъэ къэкIуагъ
Махъулъэрэ щыдырэ зэфэдэ аIуагъ гущ."
"махъушэ","
(махъушэр, махъушэхэр)
верблюд
Хэгъэгу фабэмэ зэращызекIорэ псэушъхьэшхоу зы сыдж е сыджитIу зытетыр ары
Махъушэ караван
Махъушэм тесэу макIо
УпIапI, ушъуашъу, теушъошъухь хыр.
Махъшэри илъэсым зэ мэджэгу гущ."
"мацI","(мацIэр, мацIэхэр)
саранча
Лэжьыгъэр зышхырэ хьацIэпIацI
МацIэм лэжьыгъэр ышхыгъ
МацIэр къежьагъ
МацIэм фэдэу бэу дзэр блэкIы
◊ МацIэм фэд — зигъэшхэкIыхэрэп"
"машин","(машинэр, машинэхэр)
1. машина
IофшIэныр псынкIэ къэзышIырэ механизм
ДэкIо машин
ХынэкIо машин
МашинэкIэ шIыгъэ
IонэкIо машин
2. автомобиль
МашинэкIэ кIуагъэ
Шоферым машинэр псынкIэу ефы"
"машинист","(машинистыр, машинистхэр)
машинист
Механикэу машинэр зезыфэрэр ары
Паровоз машинист
Машинистэу Iоф ешIэ"
"машинистк","(машинисткэр, машинисткэхэр)
машинистка
Зэрыхаутрэ машинкэмкIэ Iоф зышIэрэ бзылъфыгъэр ары
Машинисткэм статьяр хиутыгъ
Машинисткэ Iаз"
"машэ","(машэр, машэхэр)
яма
ЧIыгум курбэу хэтIыкIыгъэр ары
Машэ ытIыгъ зыгорэм
Машэ зытIырэр машэ ефэжьы гущ."
"машIо","
(машIор)
1. огонь
Температурэшхо зиIэу стырэ ыкIи нэфырэ газ
МашIор зэхэнагъэ
Хьакум машIо илъ
МашIом ыстыгъ
МашIо щымыIэу Iугъо урэп гущ.
2. пожар
Унэм машIо кIэнагъ
МашIом цIыфхэр ечъагъэх
МашIор агъэкIосагъ
◊ МашIо ыдзыгъ — совершил поджег
◊ МашIом рэджэгу — играет с огнем
Е зэрешIэжьы
◊ МашIом пэхьэ — смелый
Щынэрэп
◊ МашIом пэт — в огне сражений"
"маяк","(маякыр, маякхэр)
маяк
1. Нэфынэ зыдзырэ башнэу, хы Iушъом Iутэу, къухьэу зекIохэрэр чэщрэ зэрэгъуазэхэрэр ары
Маякыр хы Iушъом Iут
2. ехьщ. Хэгъэгум цIыф пэрытэу щыIэмэ ямаяк"
"медэ","(медэр, медэхэр)
серый, -ая, -ое
ШхъонтIэ чIыпцIэр ары
КIалэм пэIо медэ щыгъ"
"медаль","(медалыр, медалхэр)
медаль
Наградэу атрэ металлическэ знак хъурэе пIуакIэу, сурэт горэ зэрыт хабзэр ары
Социалистическэ IофшIакIэм и ЛIыхъужъ медаль къыратыгъ
КIалэу заом къикIыжьыгъэм медалыбэ хэшIагъ"
"медикамент","(медикаментыр, медикаментхэр)
лекарство
Iэзэгъу уцхэр ары
Аптекэм медикамент бэу чIэлъ"
"медицин","(медицинар)
медицина
Узхэм, узмэ яеIэзакI ыкIи ащ зызэращыуухъумэщтым яхьылIэгъэ шIэныгъэ зэхэтыр ары
Медицинэм гъэхъэгъэшхохэр ышIыгъэх
Медицинэ институтым щеджэ"
"медрысэ","(медрысэр, медрысэхэр)
жъы. духовная мусульманская школа
Медрысэм щеджагъ"
"медэр","(медэр, медэхэр)
матрац
Ошэкурым нахь пIуакIэу шIыгъэ кIэлъын
Медэр пIэкIорым илъ
Медэр ышIыгъ"
"меньшевизм","(меньшевизмэр)
меньшевизм
Марксизмэм пэшIуекIорэ мелкобуржуазнэ, оппортунистическэ течениеу, Урысыем щыIагъэу, большевизмэм ипыеу, социалистическэ революциер Урысыем зыщытекIом къыуж народым ипыймэ лъапсэ афэхъужьыгъэр ары
Меньшевизмэр большевизмэм ипый"
"меньшевик","(меньшевикыр, меньшевикхэр)
меньшевик
Марксизмэм пэшIуекIорэ оппортунистическэ партием щыщэу, рабочэ движением къыкIоцIкIэ буржуазием иагентурэу щытэу, социалистическэ революциер Урысыем зыщытекIогъэ ужым буржуазнэ контрреволюцием ылъапсэу иягъэ езгъэкIырэ бандэу, шпионхэу ыкIи диверсантхэу, народым ипыйхэу хъужьыгъэхэр ары
Меньшевикхэр къумалых"
"меркI","(меркIыр, меркIхэр)
мера
Казеннэ матэу коцы, фыгу зыфэпIонхэур зэрапщырэ пщалъэу революцием ыпэкIэ Урысыем щыIагъ
Фыгу меркI къыщэфыгъ
ГъучI меркI
Пхъэ меркI"
"мест","(местэр, местэхэр)
полусапожок из сафьяна, сверх него надевали чувяки или галоши (кавказские узкие гамаши из мягкой кожи)
ТхьаIу зиIэ лъэхъстан цуакъэу калошым е нэмыкI шъо цуакъэу зэрытхэр ары
Местэ щыгъ
Местэ ыдыгъ
Местэм ыкIыIу лъаер телъ"
"местком","(месткомыр, месткомхэр)
местком
Профсоюз организацием ичIыпIэ комитет
Месткомыр хадзыжьыгъ
Месткомым путевкэхэр ыгощыгъэх"
"металл","(металлыр, металлхэр)
металл
Химическэ веществэ къызэрыкIу (джащ фэдэуи сплав) лыдэу, пфытэн плъэкIэу, шIэхэу плъэу щытыр ары
Металл шIуцIэхэр: чугун, щылыч; шъо зиIэ металлхэр: гъофы, гъуаплъэ, нэмыкIхэри; металл онтэгъухэр: гъучIы, гъуаплъэ; металл лъапIэхэр: дышъ, тыжьын, платин
Металлым бэ хашIыкIырэр"
"металлургие","(металлургиер)
металлургия
Металлхэр къэзышIэу, ахэр механическэу ыкIи химическэу адэлажьэрэ промышленнэ производств
Металлургием гъогу шIагъо къыкIугъ"
"методик","(методикэр, методикэхэр)
методика
ЕгъэджакIэ
Адыгабзэм иметодик"
"метр","(метрэр, метрэхэр)
метр
1. КIыхьэгъэ шапхъэу сантиметришъэ зикIыхьагъэр е меридианыр Iахьэ миллион тIокIитIоу гощыгъэу зы Iахьэм фэдизыр ары
Щыухьэ метрищ къыщэфыгъ
2. ГъучIым е пхъэм хэшIыкIыгъэ бгъузэ кIыхьэу сантиметри 100 зикIыхьагъэу зэрашырэр ары
Метрэр ышти шэкIым еуагъ
МетрэкIэ ышыгъ"
"метрик","(метрикэр, метрикэхэр)
метрика
Къэхъугъэм, лIагъэм, къэзыщагъэм-дэкIуагъэм яактхэр зыдэтхэгъэ тхылъым къыдэтхыкIыгъэр ары
Метрикэ студентым фарагъэхьыгъ"
"метро","(метрор, метрохэр)
метрополитен
ЧIычIэгъ е чIыкIыIум теIэтыкIыгъэ къэлэ мэшIоку гъогу
Метром чIэхьагъ
МетромкIэ кIуагъэ
Москва иметро цIэрыIу"
"механизм","(механизмыр, механизмхэр)
механизм
Машинэм, аппаратым, приборым Iоф езгъашIэу ыкIоцI щыгъэпсыгъэр ары
Сыхьат дэгъу, имеханизм фэдэр гъотыгъуае"
"механик","(механикыр, механикхэр)
механик
Машинэ IофымкIэ гъэсагъэу, специалистэу щытыр ары
А кIалэм механикэу МТС-м Iоф щешIэ
Ар боу механик Iаз"
"микроб","(микробыр, микробхэр)
микроб
Псэушъхьэ е къэкIрэ организм цIыкIу дэдэу, микроскоп фэшъхьафкIэ плъэгъун умылъэкIырэр ары
ЧъыIэм микробыр еукIы"
"микроскоп","(микроскопыр, микроскопхэр)
микроскоп
Нэ къодыекIэ плъэгъун умылъэкIыщт пкъыгъомэ зэряплъхэрэ оптическэ приборэу инэу озгъэлъэгъурэ апчхэр зыхэлъыр ары
МикроскопымкIэ микробым еплъыгъ
Школым микроскопхэр къыщэфыгъэх"
"микрофон","(микрофоныр, микрофонхэр)
микрофон
Макъэу Iухэрэр электрическэу зышIэу макъэхэр чыжьэу щызэхахэу зышIырэ прибор
Микрофоным Iутэу къэгущыIагъ"
"миллиард","(миллиардыр, миллиардхэр)
пчъ. миллиард
Миллион миныр ары"
"милицие","(милициер)
милиция
Хэгъэгум иадминистративнэ IофшIапIэу, общественнэ порядкэр, щынагъо щымыIэныр, джащ фэдэуи гражданхэм ашъхьэкIи ямылъкукIи щынагъо щымыIэным иIоф къэзыухъумэрэр ары
А кIалэм милицием Iоф щешIэ
Милицием иначальник"
"милиционер","(милиционерыр, милиционерхэр)
милиционер
Милицием ирядовой IофшIакIу
Милиционерым бзэджашIэр къыубытыгъ"
"миллиметр","(миллиметрэр, миллиметрэхэр)
миллиметр
Метрэр Iахьэ минэу гощыгъэу ащ щыщ зы Iахьэр ары
МиллиметрипшIыр зы сантиметр мэхъу"
"миллион","(миллионыр, миллионхэр)
пчъ. миллион
Мин шъипшI
Сомэ миллион
Фабрикэм миллион пчъагъэ ауасэ мылъку иI"
"миллионер","(миллионерыр, миллионерхэр)
миллионер
Сомэ миллион ыкIи нахьыбэ ахъщэу е мылъкоу зиIэр ары
ЛэжьэкIо миллионер"
"мин","
(миныр, минхэр)
пчъ. тысяча
Пчъагъэу шъипшI хъурэр ары
Сомэ минкIэ къыщэфыгъ
ПхъэдзымкIэ сомэ мин къыхьыгъ"
"миномет","(минометыр, минометхэр)
миномет
Лагъмэр зыдзырэ Iаш
МинометкIэ пыим еуагъ"
"минометчик","(минометчикыр, минометчикхэр)
минометчик
Миномет частым хэт зэолI
А кIалэр минометчикэу заом хэтыгъ"
"миноносц","(миноносцэр, миноносцэхэр)
миноносец
Дзэ къухьэ лIэужыгъу
Миноносцэр хым тет
А кIалэр миноносцэм матросэу ис"
"минус","(минусыр)
минус
1. Гъэтхъыгъэ цIыкIоу (–) пчъагъэм ихэхын къэзгъэлъагъорэр ары
5 – 2 = 3
2. ехьщ. ЩыкIагъэ
Ар ежькIэ минус нахь плюсэп"
"минут","(минутэр, минутхэр)
минута
Такъикъ
Охътэ шапхъэу сыхьатым и 1/60
Сыхьатыр 12-м минути 5-кIэ дэхыгъ
Зы минути пэлъыгъэп, шIэх дэдэу ыухыгъ"
"минутыпчъ","(минутыпчъыр, минутыпчъхэр)
минутная стрелка
Такъикъыпчъ
Сыхьатым минутыпчъыр къытезыгъ"
"митинг","(митингыр, митингхэр)
митинг
Политикэм ыкIи нэмыкI Iоф горэм тегущыIэным пае цIыфыбэ зэкIолIэрэ зэIукI
Митингым къыщыгущыIагъ
Митингыр аухыгъ"
"мо","мест. тот, та, то
КъэзыIорэм пэчыжьэ хьазыр горэ къырегъэлъагъо
Мо унэу къэлъагъорэр ары университетыр
Мо лIэу къакIорэр кIэлэегъадж
Мо унэшхоу чылэ гъунэм Iутыр еджапIэ"
"мобилизацие","(мобилизациер)
мобилизация
1. ЦIыфхэр дзэм ащэныр ары
Мобилизацие щыI
2. ехьщ. IофшIэн пшъэрылъым игъэцэкIэн зэкIэ кIуачIэхэр епхьылIэныр ары
Хэкум кIуачIэу иIэр зэкIэ мобилизацие ышIи, лэжьыгъэр игъом Iуихыжьыгъ"
"мод","(модэр)
мода
Щыгъын шIыкIэ къежьэгъакIэр ары
А бзылъфыгъэр лъэшэу модэм пылъ
Ащ джы имод"
"модель","(моделыр, модельхэр)
модель
АшIыщт горэм ищысэ пкъыгъу
Самолетым имодель
Автомобилым имодель комиссиер еплъыгъ"
"модн","(моднэр, моднэхэр)
модный, -ая, -ое
Модэу щыIэм тетэу шIыгъэр ары
Палътэу моднэ щыгъ
Икостюм моднэу шIыгъэ
Моднэу фэпагъэ"
"модыкIэ","нареч. оттуда, туда
МокIэ
МодыкIэ къекIы, къыдэхьэ
МодыкIэ маплъэ нахь, мыдыкIэ къэплъахэрэп"
"модэ","I нареч. вот, там
Модэ, мо къэлъагъорэр ары мэзыр
II гущыIэгъус -ка
1. Унашъор нахь къэзыгъэшъабэрэ гущыIэгъус
Модэ унэм чъи отычыр къысфахь
Модэ чэмым Iус ет
2. ЗэрагъэшIагъорэ къэзгъэлъэгъорэ гущыIэгъус
Модэ мощ ыIорэр
Модэ мор зэрэмыукIытэрэр"
"мокI","нареч. туда
Адрэ лъэныкъор къегъэлъагъо
МокIэ кIуагъэ
МокIи кIуагъэ, мыкIи кIуагъэ, ау зи хишIыхьан ылъэкIыгъэп"
"молэ","(молэр, молэхэр)
жъы. мулла
МакIэу еджэгъэ ефэнд
Молэ мыхъу, Iэнэ хъункI
Молэхэр искъатым щызэрэлIых, лIагъэм щызэшIужьых гущ."
"молэIо-молашъу","(молэIо-молашъор, молэIо-молашъохэр)
не особенно сведущий в мусульманской религии, но напускающий на себя вид муллы; квазимулла
Емыджэгъэ шIагъоу молашъо зытезгъаорэр ары
Ари молэIо-молашъомэ ащыщ"
"мор","мест. тот
ТIэкIу пэчыжьэIо пкъыгъор къегъэлъагъо
Мор клубыр ары
Мор тикъоджэ кIал
Моры сэ зыфэсIогъэ кIалэр"
"морад","(морадыр, морадхэр)
намерение, цель
Гухэлъ
Иморад къыдэхъугъ
ЕджакIо кIонэу морад ышIыгъ"
"морары","мест. вот
Нахь чыжьаIоу щыт пкъыгъор къегъэлъагъо
Морары машинэр ежьагъ
Морары къухьэр къэкIо"
"морожн","(морожнэр, морожнэхэр)
мороженое
Щатэм е пхъэшъхьэ-мышъхьэпсым хэшIыкIыгъэу гъэдыигъэ шхын IэшIу
Морожнэ къыщэфыгъ
Морожнэ ещэ"
"морс","(морсыр, морсхэр)
морс
МэркIопсэу е пхъэшъхьэ-мышъхьэпсэу псы зыхэгъэкIухьагъэу ашIырэ шъон
Морс ешъуагъ
Буфетым морс щащэ"
"моряк","(морякыр, морякхэр)
моряк
Къухьэм исэу къулыкъу зышIэрэр ары
Моряк кIал
Морякхэр къухьэм къикIыгъэх"
"мотор","(моторыр, моторхэр)
мотор
КъезыфэкIырэ машин
Моторым псы къыдещы
Моторым гурхъур егъэгу
Моторым машинэр зэрефэ"
"мощтэу","нареч. таким образом, так
Мырэущтэу
Мощтэу хъугъэ
Дунаир мощтэу щытэу умыкIу, нахь фэбаIо хъумэ укIон
Мощтэу зишIыгъ, мощтэу зыкъишIыжьыгъ, ау зи ишIуагъэ къэкIуагъэп"
"музей","(музеир, музейхэр)
музей
Искусствэм, техникэм, тарихъым, наукэм ехьылIэгъэ коллекциехэр, пкъыгъохэр зыугъоеу, ахэр зыухъумэу, выставкэхэр зэхэзыщэхэу, джахэм апылъ IофшIапIэр ары
КIэлэегъаджэм кIэлэеджакIохэр музеим ыщагъэх"
"музык","(музыкэр)
музыка
Гум ихъыкIрэр, зэхишIэрэр, идеер ритмическэ мэкъэ, интонацие зэфэшъхьафхэр къэзгъэнэфэрэ искусств ыкIи ащ афэдэ произведениехэр пщынэ Iэмэ-псымэ зэфэшъхьафмэ къябгъэIоныр ары
Ащ музыкэр лъэшэу икIас
Музыкэм едэIу зэпытми езэщрэп"
"музыкант","(музыкантыр, музыкантхэр)
музыкант
ЦIыфэу музыкэм пылъыр е Iэмэ-псымэкIэ къезгъаIоу ар зиIэнатIэр ары
Ар музыкант цIэрыIу"
"мы-","отрицательный аффикс «не»
Отрицаниер къызэрыкIрэ приставк
ЧIыгур мыжъоу щылъ
Тхылъыр джыри мытхы
Джанэр мыды"
"мы","I (мыр, мыхэр)
мест. эта, это, этот
Благъэу щыт пкъыгъор къегъэлъагъо
Мы кIалэр еджакIо сэщэ
Мы шэкIыр сшIодахэу къэсщэфыгъ
II (мыр, мыхэр)
дикое яблоко
Мэзым хэт мыем къыпыкIэрэр ары
Мыем мы пиз
Мы ыгъэгъугъ
Мыр хафэ"
"мыгъ","(мыгъэ)
нареч. нынешний год
Мы илъэсыр
Мыгъэ гъэ дэгъу, лэжьыгъэхэр бэгъощтых
Ащ еджэныр зыригъэжьагъэр мыгъ ныIэп"
"мыгъо","(мыгъор, мыгъохэр)
1. несчастливый и приносящий несчастье другим
ШIу къызпымыкIрэр ары
ЦIыф мыгъу
2. незадачливый, -ая, -ое; злосчастный, -ая, -ое
Насыпынчъ
А кIэлэ мыгъу, машинэм уиукI пэтыгъи
ЦIыф мыгъо тхьамыкI
◊ IукIэгъэ мыгъу — встреча, приносящая несчастье"
"мыдаIо","(мыдаIор, мыдаIохэр)
непослушный, -ая, -ое
РаIорэр зыхэмызагъэрэр ары
Ар цIыф мыдаIоу щыт"
"мыдрабгъу","(мыдрабгъур)
эта сторона
МыдрэкI
Псыхъом адрабгъукIи мыдрабгъукIи чылэхэр Iусых"
"мыдрэкI","(мыдрэкIыр)
еплъ <<мыдрабгъу>>"
"мыдыкIэ","нареч. сюда, отсюда
МодыкIэ къикIыщт аIоу плъэхэзэ, мыдыкIэ къэсыжьыгъ
МодыкIи мыдыкIи кIуагъэ, ау зи къыгъотыгъэп"
"мыдэ","I нареч. сюда
Мыдэ къакIо
Мыдэ къаштэ ахъщэр
II гущыIэгъус частица «-ка»
Мыдэ еплъэлъ мыщ
Мыдэ мыщ ыIорэр!"
"мыджыр","(мыджырыр, мыджырхэр)
1. неспелый, -ая, -ое
Зигъо мыхъугъэ пхъэшъхьэ-мышъхь
МыIэрысэ мыджыр
Къужъ мыджырыр умышхы
2. необщительный, -ая, -ое
Нэгъуцу
ЦIыф мыджыр"
"мыджэ-мыпцI","(мыджэ-мыпцIэр)
неудавшийся, плохо заквасившееся (о кислом молоке)
Тэрэзэу мыпцIагъэр ары
Щхыур мыджэ-мыпцIэ хъугъэ"
"мые","(мыер, мыехэр)
дикая яблоня
Мы къызпыкIэрэ чъыгыр ары
Мыер къызэIуихыгъ
Мыем мы пиз"
"мыжъо","
(мыжъор, мыжъохэр)
камень
Къушъхьэ породэ лIэужыгъо пыт
Урамыр мыжъокIэ пкIагъэ
Мыжъом фэд, онтэгъу"
"мыжъобг","(мыжъобгыр, мыжъобгхэр)
утес
Къушъхьэ мыжъобг
Мыжъобгым ыпакIэ къыпыутыгъ
Мыжъобгым гъочIэгъ иI"
"мыжъобгъу","(мыжъобгъур, мыжъобгъухэр)
плоский камень, на котором толкут соль и пряности
Мыжъо джэшъо пIокIэ ин хьазырэу щыгъу е нэмыкI аубын хъумэ зытраубэу адыгэмэ агъэпсэуалъэрэр ары
Щыгъур мыжъобгъум тыритакъуи мыжъохъураекIэ ыубыгъ"
"мыжъолъ","(мыжъолъыр, мыжъолъхэр)
точило
Шъэжъый, обзэгъу, нэмыкIхэр зэрагъэчанрэ мыжъор ары
Шъэжъыер мыжъокIэ ылъыгъ"
"мыжъосын","(мыжъосыныр, мыжъосынхэр)
памятник
ЫцIэрэ ылIэкъуацIэрэ, къызыхъугъэ илъэсымрэ, зылIагъэмрэ тетхагъэу лIагъэм фагъэуцурэ мыжъу
ЛIыхъужъым мыжъосыныр фагъэуцугъ"
"мыжъоупцIап","(мыжъоупцIапэр, мыжъоупцIапэхэр)
металлические пластинки, служащие украшением пояса, уздечки и т. д.
Хъулъфыгъэ тыжьын бгырыпхмэ, шхомэ, джэрышIэмэ апылъ тыжьын е нэмыкI пIокIэ кIыхьэхэр ары
МыжъоупцIэпэ закъо пылъэу бгырыпх
Бгырыпх Iэпс-лъэпс цIыкIу ыбг илъыгъ
МыжъоупцIэпэ пакъ
МыжъоупцIэпэ папцI"
"мыжъоупцIэ","(мыжъоупцIэр, мыжъоупцIэхэр)
оселок
Шъэжъыер, чаныр мыжъолъкIэ загъэчанкIэ зыдадзэжьрэ мыжъо джаер ары
Чаныр мыжъоупцIэм дидзагъ"
"мыжъоф","(мыжъофыр)
известь
Мыжъо фыжь зэхэшIыхьагъэу унэр зэрагъалэрэр ары
Мыжъоф зэхэшIыхьагъ
Мыжъоф хьаджыгъ"
"мыжъохъурай","(мыжъохъураер, мыжъохъураехэр)
круглый камень, используемый для толчения соли
Щыгъу, къоны, щыбжьый зыфэпIощтхэр зэраубырэ фэхъурэешъо мыжъоу адыгэмэ агъэпсэуалъэрэр ары
МыжъохъураемкIэ бжьыныфщыгъу ыубыгъ
Пхъур тыщасэ къызыкIокIэ мыжъохъураем зегъэбылъы гущ."
"мыжъоIашкI","(мыжъоIашкIэр)
игра в камушки
ДжэгукIэ. МыжъокIэ цIыкIуитф IэкIоцIым ралъхьэшъ, дадзыешъ, IэкIыбымкIэ къаубытыжьзэ рэджэгух
IэкIыбымкIэ къымыубытышъоу мыжъомэ ащыщ шIуефэхмэ, игъусэу дэджэгурэм ретышъ, ащи арэу ешIы
Джащ фэдэу нэмыкI джэгукIэхэри иIэх
КIалэхэр, пшъэшъэжъыехэр мыжъоIашкIэ ешIэх"
"мыжъуакIэ","(мыжъуакIэр, мыжъуакIэхэр)
галька
Мыжъо жъгъэй джашъу
Лабэ икъуладжэ мыжъуакIэ диз
ЧIыгу дэй, мыжъокIэ закI
Пцэлыбэр ынапц, мыжъокIабэр къыIопсы (Ц. Т.)"
"мыжъуалъ","(мыжъуалъэр, мыжъуалъэхэр)
каменистое место
Мыжъо бэу зэрылъ чIыпI
Ар мыжъуалъэшъ лэжьыгъэр къыщыхъурэп"
"мыжъуахъу","(мыжъуахъор, мыжъуахъохэр)
брусок
Щэмэджыр зэрагъэчанрэ мыжъо пIокIэ кIыхьэ пхъашэу дадзэрэр ары
Мэкъуаор къэуцуи щэмэджыр мыжъуахъом дидзагъ"
"мызагъ","(мызагъэр, мызагъэхэр)
1. непоседа
Зы чIыпIэ имызагъэу къэзычъыхьэрэр ары
КIэлэ мызагъ
Ащ нахь мызагъэ, ащ нахь къэкIухьэ цIыф бгъотыжьынэп
2. беспокойный, -ая, -ое
Iофым фэгумэкIырэ цIыф
КIэлэ мызагъэр шыхэм адэжь къэплъэнэу кIуагъэ"
"мызэгъогум","нареч. в этот раз
Мызэгъогум зи фэсшIэн слъэкIыгъэп
Мызэгъогум фэзгъэгъун, ау ащ ыужкIэ ар пшIэу сыдэнэп"
"мызэу-мытIоу","нареч. несколько раз (букв.: не раз и не два раза)
Бэрэ
Мызэу-мытIоу къэкIуагъ
Мызэу-мытIоу бэрэ сыдэгущыIагъ"
"мыкъмыдж","(мыкъмыджыр, мыкъмыджхэр)
неотесанный, -ая, -ое
ШIыкIэ-зекIуакIэ зымышIэрэр ары
Ар цIыф мыкъмыдж хьазырэу щыт
Арэп, сыдэу умыкъмыджа сэIо"
"мыкъыр","(мыкъырыр, мыкъырхэр)
грубая, -ый, -ое; заскорузлая, -ый, -ое (о коже)
МыIотыгъэр, мышъабэр ары
Шъо мыкъыр
Шъор мыкъырышъ, ащкIэ къекIущтэп"
"мыкI","I нареч. этой зимой
Мы кIымафэр
МыкI чъыIэшхо хъущт
МыкI кIуагъэм кIымэфэшхуагъ
II нареч. эта сторона
Ар зыдэщыIэр мыкIэ нахь акIэп
МыкIэ мамыр, зи уаий щыIэп"
"мыкIо-мыкIуат","(мыкIо-мыкIуатэр, мыкIо-мыкIуатэхэр)
то, что трудно сбыть с рук
IумыкIрэр ары
МыкIо-мыкIуатэу къыIэкIэнагъ"
"мыкIу-мыпш","(мыкIу-мыпшыр)
пресное (про тесто)
Мыгъэтэдж
Тхьацу мыкIу-мыпш
Щэлэмэ мыкIу-мыпш тIэкIу ыгъэжъагъ
Хьалыгъу мыкIу-мыпш"
"мылджыджыу","(мылджыджыур)
чистый сверкающий (гладкий) лед
КIалэр мылджыджыум лъэрычъэкIэ щэчъэ"
"мылы","(мылыр, мылхэр)
лед
ЧъыIэм псэу ыгъэщтыгъэр ары
Мылым кIалэхэр щэджэгух
Псыхъор щтыгъэшъ, мылымкIэ цIыфхэр псым екIых
Мылым фэдэу чъыIэ"
"мылылъ","(мылылъэр, мылылъэхэр)
ледник
Къушъхьэ лъагэу мыл зытелъыр ары
Мылылъэм мылыр къыщыуагъ"
"мылышъ","(мылышъэр)
шуга
Мыл къутэгъэ жъгъэйхэу псыхъом ыхьхэрэр ары
Лабэ мылышъэ къехьы"
"мылъку","(мылъкур)
имущество
Ахъщ, былым, нэмыкIэу уасэ зиIэ хэкIыпI
Ащ мылъкоу иIэр бэ
Ащ мылъкоу иIэр еджэным тыригъэкIодагъ"
"мыпсы","(мыпсыр, мыпсхэр)
компот из сушеных диких яблок
Мы гъэгъугъэу псы жъуагъэм хэтэкъуагъэу зипс къыкIырагъэхыгъэр ары
Мыпс ышIыгъ
Мыпсыр графиным итэу столым тет"
"мыр","мест. это
Мыр тхылъ дэгъу
Мыр тишкол
Мыр сшынахьыжъ имашин"
"мырары","мест. вот еплъ <<мары>>
Гъунэгъоу щыт пкъыгъор къегъэлъагъо"
"мыры","мест. этот
Гъунэгъу дэдэу щыт пкъыгъор къегъэлъагъо
Мыры сэ зыфэсIуагъэр
Ар зиIэшIагъэр мыры"
"мысагъ","(мысагъэр)
виновность
Мытэрэзэу зэрызекIуагъэр зыдешIэжьы
Мысэм имысагъэ зыдешIэжьы"
